year,week,team_1,team_1_score,team_1_proj,team_1_result,team_2,team_2_score,team_2_proj,team_2_result
2021,15,Peyton,102.78,137.21,Win,Korben,82.74,135.19,Loss
2021,15,Weston,93.68,135.38,Loss,Rhett,119.36,118.43,Win
2021,15,Brayden,110.16,141.95,Loss,Ben,144.92,135.09,Win
2021,16,Abhi,104.78,139.51,Loss,Brayden,138.76,141.48,Win
2021,16,Peyton,133.40,135.13,Loss,Rhett,140.48,132.48,Win
2021,16,Weston,182.30,122.76,Win,Korben,116.04,141.61,Loss
2021,16,Ben,152.68,122.76,Win,James,115.32,132.90,Loss
2021,17,Abhi,138.40,148.70,Loss,Korben,138.68,142.45,Win
2021,17,Peyton,151.04,132.98,Win,James,91.96,140.25,Loss
2021,17,Weston,146.54,135.72,Win,Brayden,95.36,151.54,Loss
2021,17,Rhett,143.06,143.72,Loss,Ben,159.32,148.25,Win
2022,1,Abhi,101.48,137.93,Loss,Ben,126.84,120.86,Win
2022,1,Weston,163.86,139.92,Win,James,103.52,125.10,Loss
2022,1,Rhett,90.46,130.68,Loss,Brayden,158.52,133.82,Win
2022,1,Korben,122.70,133.73,Loss,Ryan,124.62,135.30,Win
